epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.6843,1.97616,2.09691,1.33394,0.0067,0.10668,0.0705,0.02736,2.26117,3.8673,1.55914,0.0677674,0.000325581,0.000325581
2,55.8494,1.83538,1.32067,1.25407,0.21468,0.38809,0.3633,0.1814,1.87202,2.52881,1.25168,0.0347638,0.000655291,0.000655291
3,71.7993,1.79215,1.21135,1.24195,0.47197,0.38471,0.40824,0.1854,1.88362,1.26572,1.25626,0.00175653,0.000981333,0.000981333
4,87.4411,1.7395,1.12253,1.2194,0.49032,0.42806,0.41865,0.18981,1.86478,1.12725,1.27931,0.0009835,0.0009835,0.0009835
5,102.694,1.72998,1.09617,1.20478,0.49333,0.46075,0.45357,0.20275,1.87717,1.06662,1.26755,0.000978,0.000978,0.000978
6,117.928,1.70371,1.03844,1.18483,0.51288,0.5047,0.48511,0.21702,1.81537,1.03046,1.2301,0.0009725,0.0009725,0.0009725
7,133.129,1.67543,0.99525,1.18449,0.53658,0.52656,0.49761,0.22333,1.7385,0.99832,1.17806,0.000967,0.000967,0.000967
8,148.47,1.64689,0.95879,1.17097,0.55635,0.54427,0.52053,0.23882,1.75606,0.9605,1.19016,0.0009615,0.0009615,0.0009615
9,164.07,1.64209,0.94833,1.16978,0.61175,0.53476,0.52512,0.22762,1.76176,0.94911,1.20216,0.000956,0.000956,0.000956
10,179.685,1.606,0.90998,1.15117,0.56556,0.52453,0.49955,0.22631,1.72565,0.94487,1.18416,0.0009505,0.0009505,0.0009505
11,195.217,1.59546,0.91178,1.14802,0.64355,0.54738,0.54126,0.24695,1.75405,0.92261,1.19282,0.000945,0.000945,0.000945
12,210.721,1.59901,0.90186,1.15491,0.6484,0.57284,0.58711,0.25986,1.70262,0.90877,1.17602,0.0009395,0.0009395,0.0009395
13,225.782,1.61975,0.9043,1.15747,0.63791,0.5682,0.57616,0.26533,1.66429,0.90936,1.16256,0.000934,0.000934,0.000934
14,240.992,1.56201,0.87175,1.13844,0.65661,0.56432,0.56777,0.25605,1.73285,0.9032,1.17667,0.0009285,0.0009285,0.0009285
15,256.053,1.56899,0.85293,1.1456,0.67404,0.55129,0.57068,0.25758,1.75786,0.91798,1.19421,0.000923,0.000923,0.000923
16,271.309,1.56358,0.84938,1.13364,0.65229,0.58316,0.58845,0.26512,1.65536,0.89499,1.16091,0.0009175,0.0009175,0.0009175
17,287.011,1.55524,0.86025,1.13611,0.64853,0.58258,0.58073,0.26943,1.61079,0.87938,1.13747,0.000912,0.000912,0.000912
18,302.687,1.55449,0.85002,1.13537,0.70013,0.5756,0.59359,0.27162,1.65752,0.88615,1.16728,0.0009065,0.0009065,0.0009065
19,318.292,1.547,0.84659,1.12686,0.65612,0.56401,0.57832,0.26213,1.69012,0.88601,1.17062,0.000901,0.000901,0.000901
20,333.345,1.50607,0.81738,1.11655,0.68678,0.55066,0.58546,0.26234,1.70247,0.87074,1.16628,0.0008955,0.0008955,0.0008955
21,347.882,1.50506,0.81399,1.11149,0.68979,0.59439,0.61566,0.26714,1.75323,0.88556,1.19344,0.00089,0.00089,0.00089
22,362.397,1.52899,0.81643,1.1256,0.71645,0.59037,0.60877,0.26737,1.72031,0.8863,1.18344,0.0008845,0.0008845,0.0008845
23,376.941,1.51415,0.80346,1.11622,0.70602,0.61489,0.62518,0.28966,1.61294,0.8522,1.15056,0.000879,0.000879,0.000879
24,391.5,1.49675,0.80259,1.10663,0.71302,0.60656,0.63186,0.28982,1.64022,0.83126,1.14835,0.0008735,0.0008735,0.0008735
25,406.403,1.48084,0.77658,1.09876,0.67111,0.60418,0.61113,0.28466,1.64117,0.83349,1.1506,0.000868,0.000868,0.000868
26,421.22,1.46569,0.77142,1.09595,0.66801,0.61178,0.63503,0.28861,1.62803,0.83318,1.15615,0.0008625,0.0008625,0.0008625
27,436.013,1.45615,0.76838,1.09965,0.64398,0.61215,0.62039,0.29046,1.60321,0.84744,1.1369,0.000857,0.000857,0.000857
28,450.754,1.46669,0.76174,1.1012,0.65238,0.63012,0.62615,0.28573,1.61668,0.83449,1.14162,0.0008515,0.0008515,0.0008515
29,465.271,1.4659,0.78582,1.10214,0.67556,0.63264,0.61671,0.28282,1.64821,0.84861,1.15214,0.000846,0.000846,0.000846
30,479.752,1.45869,0.77254,1.09009,0.6191,0.63109,0.61449,0.28826,1.59546,0.82868,1.1305,0.0008405,0.0008405,0.0008405
31,494.257,1.45054,0.77094,1.09513,0.66238,0.63005,0.62894,0.29094,1.60808,0.82796,1.13976,0.000835,0.000835,0.000835
32,508.783,1.42859,0.7451,1.0813,0.74141,0.60988,0.63705,0.29957,1.58837,0.8186,1.13281,0.0008295,0.0008295,0.0008295
33,523.465,1.43296,0.75687,1.08695,0.71666,0.62974,0.64421,0.29767,1.61994,0.82179,1.14431,0.000824,0.000824,0.000824
34,538.356,1.41809,0.74534,1.08277,0.68943,0.63182,0.64326,0.29604,1.62817,0.81089,1.14923,0.0008185,0.0008185,0.0008185
35,553.186,1.40138,0.7348,1.07355,0.71161,0.6341,0.64683,0.28147,1.7378,0.82337,1.17936,0.000813,0.000813,0.000813
36,568.2,1.41041,0.73792,1.07839,0.70246,0.61515,0.63359,0.29368,1.62238,0.79444,1.14598,0.0008075,0.0008075,0.0008075
37,582.82,1.4098,0.73178,1.08293,0.6791,0.64756,0.64917,0.30489,1.57667,0.78833,1.12671,0.000802,0.000802,0.000802
38,597.527,1.40516,0.72432,1.07294,0.70666,0.62047,0.63405,0.29851,1.6141,0.80823,1.14268,0.0007965,0.0007965,0.0007965
39,611.916,1.41227,0.73767,1.07088,0.68781,0.60459,0.63004,0.28637,1.66712,0.82727,1.16478,0.000791,0.000791,0.000791
40,626.414,1.40765,0.73081,1.07246,0.65127,0.65445,0.65033,0.29854,1.60384,0.79951,1.13745,0.0007855,0.0007855,0.0007855
41,641.162,1.41993,0.75757,1.08137,0.74031,0.60498,0.64391,0.29137,1.67061,0.82053,1.16575,0.00078,0.00078,0.00078
42,656.173,1.3925,0.71493,1.07016,0.66706,0.65066,0.64303,0.30164,1.60807,0.80454,1.1405,0.0007745,0.0007745,0.0007745
43,671.051,1.36635,0.71379,1.05999,0.6883,0.61658,0.63417,0.29486,1.61334,0.80899,1.14022,0.000769,0.000769,0.000769
44,686.088,1.37575,0.71529,1.06632,0.71062,0.61915,0.63669,0.29583,1.65786,0.80145,1.158,0.0007635,0.0007635,0.0007635
45,700.843,1.36594,0.7051,1.06604,0.68639,0.62129,0.61827,0.28897,1.65946,0.80623,1.15514,0.000758,0.000758,0.000758
46,715.401,1.3821,0.70528,1.06286,0.6996,0.60621,0.6384,0.30195,1.60802,0.78208,1.14487,0.0007525,0.0007525,0.0007525
47,729.886,1.3648,0.70087,1.06209,0.68557,0.64849,0.64636,0.30566,1.59268,0.78075,1.14138,0.000747,0.000747,0.000747
48,744.452,1.36266,0.70631,1.05917,0.70527,0.62068,0.638,0.29997,1.59519,0.78801,1.13808,0.0007415,0.0007415,0.0007415
49,759.104,1.36332,0.69961,1.06273,0.70403,0.63471,0.65996,0.30767,1.58034,0.79251,1.13769,0.000736,0.000736,0.000736
50,773.959,1.33768,0.69471,1.04452,0.69706,0.65396,0.66011,0.3057,1.61081,0.77599,1.14762,0.0007305,0.0007305,0.0007305
51,788.892,1.33655,0.67782,1.04701,0.74144,0.64458,0.66092,0.30049,1.64745,0.77162,1.1526,0.000725,0.000725,0.000725
52,803.839,1.34904,0.69747,1.0473,0.71167,0.64481,0.65331,0.30785,1.58209,0.7787,1.13933,0.0007195,0.0007195,0.0007195
53,818.712,1.32855,0.67779,1.03858,0.7237,0.61615,0.64621,0.30296,1.58054,0.79328,1.13651,0.000714,0.000714,0.000714
54,833.046,1.33681,0.68685,1.04599,0.70016,0.65462,0.66994,0.30901,1.60036,0.79693,1.14202,0.0007085,0.0007085,0.0007085
55,847.466,1.32873,0.68075,1.04293,0.75169,0.62743,0.67047,0.30491,1.57754,0.7911,1.13444,0.000703,0.000703,0.000703
56,861.789,1.31504,0.6675,1.03662,0.67339,0.64727,0.64342,0.30144,1.59783,0.78015,1.13842,0.0006975,0.0006975,0.0006975
57,876.277,1.30992,0.6705,1.03358,0.73703,0.62996,0.65269,0.302,1.60111,0.77217,1.13908,0.000692,0.000692,0.000692
58,891.123,1.30639,0.67372,1.03476,0.71157,0.61464,0.64637,0.30536,1.57206,0.77852,1.12951,0.0006865,0.0006865,0.0006865
59,905.972,1.30857,0.66674,1.03154,0.67523,0.64449,0.65214,0.30596,1.57922,0.77967,1.12924,0.000681,0.000681,0.000681
60,920.941,1.30229,0.66072,1.03444,0.66302,0.66869,0.6538,0.30789,1.59176,0.78028,1.14323,0.0006755,0.0006755,0.0006755
61,936.014,1.29067,0.65497,1.03304,0.7087,0.64533,0.65087,0.30489,1.61866,0.78416,1.14909,0.00067,0.00067,0.00067
62,950.688,1.29826,0.65894,1.02688,0.70631,0.65247,0.65666,0.3029,1.66595,0.78237,1.16654,0.0006645,0.0006645,0.0006645
63,965.138,1.2933,0.65277,1.02597,0.70644,0.65101,0.66871,0.31304,1.58529,0.77354,1.14343,0.000659,0.000659,0.000659
64,979.658,1.2999,0.65827,1.03998,0.71676,0.64021,0.67149,0.30949,1.62817,0.78627,1.14835,0.0006535,0.0006535,0.0006535
65,994.177,1.27907,0.65665,1.02732,0.72774,0.64813,0.67161,0.3107,1.61254,0.77193,1.13968,0.000648,0.000648,0.000648
66,1008.94,1.27241,0.63936,1.0251,0.7683,0.61113,0.66077,0.31773,1.58065,0.76746,1.13338,0.0006425,0.0006425,0.0006425
67,1023.82,1.28085,0.64787,1.0271,0.71102,0.63615,0.67884,0.31683,1.57271,0.77358,1.13337,0.000637,0.000637,0.000637
68,1038.79,1.26378,0.63874,1.02427,0.71481,0.63414,0.66253,0.3088,1.59022,0.75935,1.13568,0.0006315,0.0006315,0.0006315
69,1053.66,1.27138,0.63523,1.03042,0.69035,0.67045,0.67589,0.3097,1.61112,0.78271,1.14283,0.000626,0.000626,0.000626
70,1068.63,1.25888,0.63993,1.02268,0.70413,0.67132,0.67633,0.31914,1.57763,0.77085,1.13791,0.0006205,0.0006205,0.0006205
71,1084.71,1.26782,0.64966,1.0279,0.7179,0.63632,0.66135,0.3175,1.58604,0.76726,1.14472,0.000615,0.000615,0.000615
72,1100.35,1.25907,0.64613,1.02723,0.68075,0.6542,0.65855,0.31354,1.58557,0.77261,1.13901,0.0006095,0.0006095,0.0006095
73,1115.63,1.25759,0.64714,1.02717,0.71585,0.66118,0.67279,0.31107,1.62016,0.76931,1.15198,0.000604,0.000604,0.000604
74,1130.59,1.23154,0.61605,1.01442,0.70259,0.65588,0.65955,0.30456,1.62064,0.77543,1.15063,0.0005985,0.0005985,0.0005985
75,1145.54,1.23718,0.62307,1.01889,0.71323,0.66044,0.67777,0.31103,1.60465,0.76581,1.14932,0.000593,0.000593,0.000593
76,1161.92,1.23019,0.62237,1.01135,0.6954,0.67369,0.68298,0.31582,1.60642,0.77289,1.15591,0.0005875,0.0005875,0.0005875
77,1177.57,1.21704,0.61611,1.00605,0.74055,0.6576,0.67976,0.31637,1.63177,0.75848,1.15318,0.000582,0.000582,0.000582
78,1193.26,1.23199,0.62002,1.0139,0.69723,0.67968,0.67266,0.31024,1.60825,0.75507,1.15,0.0005765,0.0005765,0.0005765
79,1210.73,1.23881,0.62616,1.02089,0.72373,0.63957,0.67691,0.31384,1.60952,0.76388,1.13925,0.000571,0.000571,0.000571
80,1230.44,1.20834,0.61849,1.00925,0.68785,0.67778,0.66729,0.31712,1.57983,0.7669,1.13643,0.0005655,0.0005655,0.0005655
81,1252.01,1.21292,0.61561,1.00759,0.68514,0.65049,0.65441,0.30198,1.60776,0.76109,1.14553,0.00056,0.00056,0.00056
82,1273.23,1.18394,0.59574,0.99262,0.72273,0.64534,0.66339,0.30838,1.60747,0.76622,1.15433,0.0005545,0.0005545,0.0005545
83,1294.89,1.20234,0.61331,1.00172,0.73396,0.67364,0.68948,0.31459,1.61661,0.76031,1.15882,0.000549,0.000549,0.000549
84,1316.46,1.19918,0.60738,1.00271,0.73751,0.64221,0.68533,0.31703,1.61457,0.75596,1.15249,0.0005435,0.0005435,0.0005435
85,1338.17,1.19644,0.60275,0.99663,0.72357,0.67841,0.69471,0.32082,1.58805,0.75499,1.14883,0.000538,0.000538,0.000538
86,1358.54,1.18511,0.60046,0.99333,0.71069,0.66136,0.67861,0.32233,1.57468,0.75595,1.14533,0.0005325,0.0005325,0.0005325
87,1379.1,1.19685,0.60373,0.99502,0.73432,0.66801,0.67702,0.31376,1.5857,0.76406,1.14614,0.000527,0.000527,0.000527
88,1395.42,1.18802,0.59998,0.99703,0.74713,0.64669,0.67723,0.31794,1.58114,0.75619,1.1421,0.0005215,0.0005215,0.0005215
89,1411.18,1.18826,0.60261,0.99823,0.73578,0.66926,0.7006,0.32263,1.58815,0.74857,1.14378,0.000516,0.000516,0.000516
90,1427.06,1.18293,0.59861,0.98985,0.74641,0.6754,0.68581,0.31733,1.59241,0.74945,1.15039,0.0005105,0.0005105,0.0005105
91,1442.66,1.17043,0.58742,0.98622,0.73939,0.66412,0.70143,0.32471,1.57631,0.75153,1.14077,0.000505,0.000505,0.000505
92,1458.87,1.17269,0.59117,0.98649,0.71418,0.66528,0.69306,0.32407,1.57487,0.74799,1.15021,0.0004995,0.0004995,0.0004995
93,1474.98,1.18044,0.59517,0.99509,0.74596,0.66504,0.6935,0.32132,1.60019,0.74794,1.15757,0.000494,0.000494,0.000494
94,1490.31,1.15019,0.57263,0.98084,0.71408,0.67379,0.69185,0.31841,1.57397,0.74579,1.14924,0.0004885,0.0004885,0.0004885
95,1505.08,1.19098,0.59294,0.99834,0.78417,0.65753,0.70609,0.32332,1.58448,0.75278,1.14782,0.000483,0.000483,0.000483
96,1520.3,1.1781,0.58908,0.99284,0.79425,0.64117,0.70743,0.32864,1.57635,0.73693,1.13745,0.0004775,0.0004775,0.0004775
97,1535.74,1.14719,0.57014,0.97842,0.76228,0.67549,0.69737,0.32849,1.55763,0.73636,1.1353,0.000472,0.000472,0.000472
98,1551.41,1.15428,0.58809,0.98723,0.7679,0.66947,0.7113,0.32771,1.59219,0.73977,1.14847,0.0004665,0.0004665,0.0004665
99,1567.18,1.16087,0.58211,0.98562,0.73269,0.68229,0.70143,0.32509,1.59151,0.74319,1.14794,0.000461,0.000461,0.000461
100,1582.98,1.1511,0.57678,0.98278,0.72835,0.67435,0.71042,0.32929,1.56434,0.74634,1.14143,0.0004555,0.0004555,0.0004555
101,1598.81,1.141,0.57776,0.97657,0.77091,0.65777,0.70014,0.32484,1.57633,0.74927,1.14415,0.00045,0.00045,0.00045
102,1614.21,1.13784,0.57217,0.97818,0.76831,0.64997,0.7037,0.32415,1.58309,0.74941,1.13957,0.0004445,0.0004445,0.0004445
103,1629.44,1.13818,0.57556,0.96983,0.70413,0.7032,0.72039,0.3283,1.58321,0.75556,1.14991,0.000439,0.000439,0.000439
104,1644.79,1.12056,0.56966,0.97068,0.71445,0.68997,0.70041,0.31985,1.58296,0.74893,1.14961,0.0004335,0.0004335,0.0004335
